objectid,tipe,npsn,nama,alamat,lat,lon,keterangan,kuota
34800,SMP,"20100236",SMPN 2 JAKARTA,Jl. Mardani Raya,-6.181300000000000,106.861500000000007,,"179"
33238,SMP,"20102513",SMPN 175 JAKARTA,Jl. Kebagusan Wates,-6.319300000000000,106.823800000000006,,"116"
35910,SMP,"20106344",SMPN 288 JAKARTA,Pulau Lancang,-5.936100000000000,106.594300000000004,,"172"
34371,SMP,"20101530",SMP NEGERI 219,Jl. Joglo Raya Komplek Pemadam Kebakaran,-6.217000000000000,106.724800000000002,,"226"
34375,SMP,"20101564",SMP NEGERI 142 JAKARTA,Jl. Joglo Raya,-6.216600000000000,106.733999999999995,,"182"
34426,SMP,"20101533",SMP Negeri 206,Jl. Meruya Selatan,-6.212200000000000,106.724199999999996,,"131"
34449,SMP,"20102523",SMP Negeri 185,Jl. Kemandoran I Grogol Utara,-6.210100000000000,106.786299999999997,,"185"
34450,SMP,"20100233",SMP NEGERI 181 JAKARTA,Jl. Masjid I Karet Tengsin,-6.210000000000000,106.814899999999994,,"118"
34459,SMP,"20102492",SMP Negeri 58,Jl. Setiabudi Barat No. 8 K,-6.209200000000000,106.824100000000001,,"170"
34472,SMP,"20100275",SMP Negeri 40 SSN,Jl. Danau Limboto Pejompongan,-6.208200000000000,106.807900000000004,,"149"
34473,SMP,"20107034",SMP NEGERI 16 JAKARTA,Jl. Palmerah Barat No. 59,-6.208000000000000,106.791499999999999,,"164"
34482,SMP,"20101570",SMP Negeri 189,Jl. H. Rausin,-6.207100000000000,106.768299999999996,,"128"
34509,SMP,"20100272",SMP Negeri 38,Jl. Karet Pasar Baru Barat I No.14,-6.205400000000000,106.813000000000002,,"200"
34531,SMP,"20101557",SMP NEGERI 101 JAKARTA,Jl. Palmerah Utara Ii No. 210 C,-6.202600000000000,106.793099999999995,,"166"
34539,SMP,"20101531",SMP Negeri 215,Jl. Melati Taman Maruya Ilir Blok B,-6.201500000000000,106.737200000000001,,"110"
34559,SMP,"20100269",SMP Negeri 70,Jl. KH. Mas Mansyur Gg. H. Awaludin IV,-6.199700000000000,106.813599999999994,,"189"
34566,SMP,"20101532",SMP Negeri 207,Jl. Raya Maruya Utara Rt.07/02,-6.199300000000000,106.751599999999996,,"146"
34576,SMP,"20101540",SMP Negeri 75 Jakarta,Jl. Raya Kebon Jeruk No.19,-6.198300000000000,106.765900000000002,,"153"
34589,SMP,"20109212",SMP Negeri 229,Jl. Raya Kebon Jeruk NO. 39,-6.197600000000000,106.772400000000005,,"227"
34622,SMP,"20101535",SMP Negeri 271,Jl. Pahlawan Sukabumi Sel.VI/F1,-6.194400000000000,106.769000000000005,,"197"
34638,SMP,"20101537",SMP NEGERI 88 JAKARTA,Jl. Anggrek Garuda,-6.193200000000000,106.794899999999998,,"143"
34663,SMP,"20101543",SMP NEGERI 61 JAKARTA,Jl. Z. Slipi Dalam,-6.192000000000000,106.800200000000004,,"208"
34670,SMP,"20101553",SMP Negeri 111,Jl. Bhakti VII/2,-6.191900000000000,106.783199999999994,,"197"
34682,SMP,"20101563",SMP NEGERI 134 JAKARTA,Taman Meruya Ilir Blok A-18,-6.190600000000000,106.769400000000005,,"168"
34689,SMP,"20101556",SMP NEGERI 105 JAKARTA,Jl. Raya Kembangan Selatan No. 54,-6.189900000000000,106.723799999999997,,"226"
34690,SMP,"20101551",SMP Negeri 127,Jl. Raya Kebon Jeruk No. 126A,-6.189900000000000,106.773300000000006,,"166"
34734,SMP,"20100255",SMP Negeri 273,Jl. Kampung Bali 24/I,-6.185900000000000,106.818100000000001,,"107"
