objectid,tipe,npsn,nama,alamat,lat,lon,keterangan,kuota
9462,MTS,"20178267",MTSS ALMUSYARROFAH,Jl. H. Muchtar Raya No.95 Rt.012 Rw.011,-6.224000000000000,106.743700000000004,,"235"
9483,MTS,"20178238",MTS Al Falah,Masjid An Nur,-6.219700000000000,106.785499999999999,,"180"
9488,MTS,"20178273",MTS Tanwirul Qulub,Jl.kh Ilyas No 39,-6.218500000000000,106.827900000000000,,"144"
9493,MTS,"20178152",MTSS AL MUBARAK,Jl. Walahar,-6.216800000000000,106.813000000000002,,"174"
9505,MTS,"20178180",MTSS AL-FAKHRIYYAH,Jl. Madrasah I No. 22 Rt.001/04,-6.213835500000000,106.775025999999997,,"185"
9510,MTS,"20178179",MTSS AL-ISLAMIYAH KP.KECIL,Kp Kecil Jl. Kebayoran Lama No.242 Rt.007/01,-6.211725000000000,106.778037999999995,,"192"
9526,MTS,"20178187",MTSS AL-ISLAMIYAH SRENGSENG,Jl. Srengseng Raya No. 26 A Rt. 005/06,-6.208500000000000,106.758899999999997,,"190"
9528,MTS,"20178243",MTsS AL-IKHLAS,Jalan Kemandoran 2 No. 28,-6.208200000000000,106.786500000000004,,"244"
9537,MTS,"20101705",MTSS AL WASHILLAH,Jl. Kampung Baru No.20 Rt 04 Rw 010,-6.206319000000000,106.727142000000001,,"188"
9542,MTS,"20178192",MTSS DARUL ULUM,Jl.kemanggisan Batusari No.4A,-6.205800000000000,106.790800000000004,,"162"
9554,MTS,"20101701",MTSS AL IHSAN,Jl.apus Ii A Rt.009/005 No.35,-6.203986000000000,106.789697000000004,,"142"
9570,MTS,"20178181",MTSS NAHJUL HUDA,Jl. Hh. Rt. 008/01 No. 63,-6.200200000000000,106.763999999999996,,"230"
9581,MTS,"20178189",MTSS AL-MAFATIH,Jl. H. Junaidi No.79 Rt.001/017,-6.198000000000000,106.790999999999997,,"192"
9583,MTS,"20178191",MTSS AL-UKHUWWAH,Slipi Jl. Cabang Iv No.42 Rt.012/05,-6.197500000000000,106.801000000000002,,"91"
9613,MTS,"20178151",MTSS JAMIAT KHEIR,Jl. Kh. Mas Mansyur 17,-6.190700000000000,106.815500000000000,,"118"
9641,MTS,"60728761",MTS AL-KHAIRIYAH,Jl. Azalea Ii Blok A3 Kel. Kedoya Selatan,-6.183500000000000,106.763300000000001,,"207"
9655,MTS,"20178184",MTSS SAADATUDDARAIN,Kh. Hasyim Rt. 05/01,-6.180600000000000,106.732200000000006,,"181"
9658,MTS,"69752655",MTSS AD DAWAH,Jl. Madrasah Tanah Koja Rt07/02,-6.179400000000000,106.722200000000001,,"230"
9669,MTS,"20101714",MTSS AL ITQON,Jl. H. Selong No. 14 Rt 05/03,-6.175300000000000,106.719499999999996,,"230"
9670,MTS,"20178182",MTSS TARBIYATUL ATHFAL,Jl. Smu 57 Rt 03/02,-6.175200000000000,106.757199999999997,,"160"
9701,MTS,"20178156",MTSS ANNIDA AL ISLAMY,Jl. Raya Duri Kosambi No.33A Rt.004/07,-6.164500000000000,106.724900000000005,,"202"
9702,MTS,"20178166",MTSS AL MUNAWAR,Jl.rawa Bahagia Kp.banjir Kanal Rt.011 Rw.01 No.06,-6.164500000000000,106.798299999999998,,"132"
9709,MTS,"20178157",MTSS NURUL QURAN,Jl. Raya Duri Kosambi No.7 Rt. 013/07,-6.162900000000000,106.726299999999995,,"215"
9723,MTS,"20101691",MTSS AL HIDAYAH,Jl. Al Hidayah Basmol Rt 006/06,-6.159200000000000,106.748599999999996,,"152"
9734,MTS,"20178167",MTSS YAKA,Jl. Jelambar Barat 2 H. No.20 A,-6.155600000000000,106.783299999999997,,"90"
9753,MTS,"20178175",MTSS AMANATUL MUSLIMIN,Jl. Kampung Belakang No. 26 - 27 Rt. 001/005,-6.150699000000000,106.705062999999996,,"133"
9758,MTS,"69941482",MTsS SIRRUL ASROR,Kampung Buaran 1,-6.150000000000000,106.700000000000003,,"145"
9770,MTS,"20178193",MTSS CHAIRIYAH MANSURIYAH,Jl. Sawah Lio I / 30 Jembatan Lima,-6.146700000000000,106.804699999999997,,"128"
9773,MTS,"20178173",MTSS SIROJUL HUDA,Utan Jati Rt 002/011 No. 100,-6.146300000000000,106.715000000000003,,"220"
9780,MTS,"20178159",MTSS DAWATUL ISLAMIYAH,Jl. Bhakti Rt.010/13,-6.143200000000000,106.741500000000002,,"152"
9781,MTS,"20178170",MTsS DA`IL KHAIRAAT,Jl. Peta Barat No.110B,-6.142900000000000,106.697100000000006,,"215"
9782,MTS,"69725387",MTSS DARUL BINA,Jl. Kampung Gusti Gg. Kantong No. 6 Rt. 006/015,-6.142500000000000,106.776600000000002,,"165"
9786,MTS,"20178172",MTSS MINHAJUT THOLIBIN,Jl.peta Utara No.46,-6.141300000000000,106.704899999999995,,"176"
9793,MTS,"20178163",MTSS SAFINATUL HUSNA,Jl. Bambu Larangan Rt 008/09,-6.139500000000000,106.715999999999994,,"178"
9797,MTS,"20178161",MTSS AT TAUBAH,Jl. Budi Bakti Rt.020/012,-6.137900000000000,106.748500000000007,,"245"
9805,MTS,"20178160",MTSS AL MUNAWWAROH,Jl. Kapuk Raya Gg Masjid Rt 02/11 No. 71,-6.136100000000000,106.745099999999994,,"156"
9818,MTS,"20101775",MTSS FAJRUL ISLAMI,Jl. Tanjung Pura 3 Rt.006/05,-6.130600000000000,106.696100000000001,,"184"
9821,MTS,"20178208",MTSS AL MUHAJIRIN TG,Teluk Gong Kavling Blok A20,-6.128600000000000,106.777799999999999,,"246"
9827,MTS,"20178177",MTSS ATTHOYIBIYYAH,Jl. Komp. Kebersihan No. 17,-6.127700000000000,106.719600000000000,,"221"
9829,MTS,"20178162",MTSS AL WAHAB,Jl. Kayu Besar Rt.004/11 No.1,-6.127300000000000,106.736500000000007,,"189"
9831,MTS,"20178207",MTSS AL FALAH,Jl. Luar Batang Iii Rt. 010/001 No. 19,-6.125700000000000,106.806700000000006,,"122"
9860,MTS,"60730313",MTS MANDIRI,Jl.muara Baru Rt.001/017 Blok B No. 292,-6.119700000000000,106.806500000000000,,"213"
9861,MTS,"69788313",MTsS KHAIRUL UMMAH,"Jl. Kapuk Muara No. 12 Rt. 006 Rw. 005, Kelurahan Kapuk Muara",-6.119327000000000,106.734603000000007,,"136"
9897,MTS,"20178176",MTSS TAHDZIBUN NUFUS,Jl. Kamal Raya No. 45 Rt.012 Rw.003,-6.109400000000000,106.712400000000002,,"123"
9900,MTS,"20178209",MTSS NURUL BAHRI,Jl. Muara Angke Rt. 006/001,-6.108600000000000,106.772400000000005,,"118"
9915,MTS,"20178174",MTSS AL GAOTSIYAH,Raya Kamal No. 02 Rt 002 Rw 01,-6.103200000000000,106.710499999999996,,"165"
34291,SMP,"20106905",SMP YADIKA 5,Jl. Joglo Raya No. 190,-6.223000000000000,106.720299999999995,,"154"
34312,SMP,"20109288",SMP Islam Terpadu Insan Mubarak,Jln. Al Mubarak II No. 28,-6.221300000000000,106.729200000000006,,"238"
34316,SMP,"20106884",SMP Sumpah Pemuda,Jl. Joglo Raya No. 036,-6.221100000000000,106.736800000000002,,"226"
34323,SMP,"20108914",SMP PETRA,Taman Alfa Indah Blok A-11,-6.220400000000000,106.750600000000006,,"182"
34325,SMP,"20106917",SMP Al Azhar 4,Jl. Kemandoran I No. 41,-6.220300000000000,106.791700000000006,,"233"
34333,SMP,"69972022",SMP HighScope Indonesia,SMP HighScope Indonesia,-6.219757000000000,106.751810000000006,,"180"
34354,SMP,"20107009",SMP Tarakanita III,Jl. Juraganan Grogol Utara,-6.218300000000000,106.791499999999999,,"214"
34365,SMP,NP176971,SMP AL BAYAN ISLAMIC SCHOOL,"JL BASOKA RAYA, KAVLING HANKAM BLOK R NO 6",-6.217610000000000,106.738117000000003,,"119"
34366,SMP,"20106903",SMP YMIK,Jl. Joglo Raya (komp Dpr Ri Pribadi),-6.217600000000000,106.733900000000006,,"249"
34381,SMP,"20106832",SMP Lemuel,Jl. Pos Pengumben Raya,-6.215600000000000,106.773099999999999,,"202"
34390,SMP,"20106978",SMP Mubasysyirin,Jl. Karbela Selatan No. 1,-6.214900000000000,106.827600000000004,,"224"
34436,SMP,"20109309",SMP PGRI 26,Jl. Sulaiman,-6.211400000000000,106.781400000000005,,"247"
34442,SMP,"20106720",SMP Al Azhar 10 Kembangan,Jl. H. Saaba Raya Komp. Unilever,-6.210900000000000,106.728399999999993,,"161"
34453,SMP,"20108518",SMP SAINT JOHN S SCHOOL,Taman Villa Meruya Blok D1/01,-6.209800000000000,106.725899999999996,,"236"
34461,SMP,"69864647",SMP MUHAMMADIYAH 11,JL. DANAU LIMBOTO NO. 2 PEJOMPONGAN BENHIL,-6.209187000000000,106.811515999999997,,"82"
34493,SMP,"20106723",SMP AL HASANAH,Jl. Daud I  No. 15,-6.206200000000000,106.775999999999996,,"153"
34515,SMP,"20106719",SMP Al Abror,Jl. Manggis No. 5A RT. 003/05,-6.204800000000000,106.757700000000000,,"144"
34520,SMP,"20106910",SMP Yasmija,Jl. Swadharma Raya No.15,-6.204200000000000,106.737600000000000,,"127"
34529,SMP,"20106724",SMP AL HUDA KEBON JERUK,Jl. H. Alimun,-6.202700000000000,106.767300000000006,,"206"
34573,SMP,"20106794",SMP Harapan,Jl. KS. Tubun I/13,-6.198800000000000,106.801199999999994,,"97"
34545,SMP,"20108798",SMP Kristen Bukit Sion,Taman Kebon Jeruk Blok GA 1,-6.200700000000000,106.750900000000001,,"120"
34549,SMP,"69918212",SMP SINGAPORE SCHOOL,JL MERUYA ILIR NO 89,-6.200390000000000,106.731145999999995,,"93"
34558,SMP,"20106891",SMP Tarsisius II,Jl. Raya Batusari No. 12,-6.199700000000000,106.781300000000002,,"166"
34571,SMP,"20100290",SMP 1945,Jl. H. Awaludin I/23,-6.199000000000000,106.812799999999996,,"201"
34578,SMP,"20109073",SMP BINA INSAN MANDIRI,Jl. Meruya Ilir Komp. Perumahan Qaryah Thayyibah Blok. A Rt. 001/05,-6.198200000000000,106.744200000000006,,"221"
34580,SMP,"69920667",SMP KATOLIK ABDI SISWA II,KOMPLEK TAMAN ARIES BLOK E 9 NO.1,-6.198199000000000,106.737900999999994,,"139"
34584,SMP,"20106805",SMP Islam Al-Ihsan,Jl. Masjid Al-Ihsan,-6.197900000000000,106.729500000000002,,"134"
34587,SMP,"20106821",SMP Kebon Jeruk 2,Jl. AYUB DALAM NO.26 B,-6.197700000000000,106.775300000000001,,"101"
34588,SMP,"20106437",SMP STRADA PELITA PEJOMPONGAN,Jl. Petamburan V/67,-6.197700000000000,106.808000000000007,,"95"
34596,SMP,"20100313",SMP Muhammadiyah 6,Jl. KH. Mas Mansyur No. 65,-6.197100000000000,106.814300000000003,,"199"
34603,SMP,"20100334",SMP KRISTEN BETHEL,Jl. Ks. Tubun No. 253,-6.196400000000000,106.805800000000005,,"103"
34605,SMP,"69758813",SMP YANURI,Jl Toram Dalam,-6.196200000000000,106.797499999999999,,"241"
34611,SMP,"20109494",SMP PATMOS,Jl. Taman Meruya Ilir Blok E-7,-6.195500000000000,106.752200000000002,,"189"
34613,SMP,"20106839",SMP Meruya Ilir 1,Jl. Raya Sanggrahan,-6.195400000000000,106.744799999999998,,"125"
34616,SMP,"20100289",SMP 1908,Jl. Petamburan III No. 41,-6.195200000000000,106.807000000000002,,"109"
34629,SMP,"20106841",SMP MUHAMMADIYAH 26,Jl. Anggrek Neli Murni BLOK B-C,-6.193700000000000,106.796899999999994,,"87"
34630,SMP,"20106800",SMP Ibu Pertiwi,Jl. S. Parman No. 69 Slipi,-6.193700000000000,106.797700000000006,,"116"
34637,SMP,"20106823",SMP Kembangan,Jl. Meruya Utara Kav. DKI Blok VI,-6.193200000000000,106.727300000000000,,"208"
34649,SMP,"20100318",SMP PGRI 17,Jl. Petamburan II No. 33,-6.192800000000000,106.808599999999998,,"130"
34654,SMP,"20106743",SMP Barunawati,Jl. X.III Aipda KS. Tubun II/III No. 7,-6.192400000000000,106.805000000000007,,"217"
34659,SMP,"20100327",SMP Islam Al-Ihsan,Jl. Kebon Kacang IX No. 57,-6.192200000000000,106.819100000000006,,"170"
34669,SMP,"20109915",SMP Islam Plus Al-Zahra,Delima,-6.191900000000000,106.752600000000001,,"176"
34673,SMP,"20109324",SMP IPEKA PURI,Jl. Puri Indah Blok. I,-6.191600000000000,106.736099999999993,,"169"
34675,SMP,"20100328",SMP ISLAM SAID NA UM,Jl. KH. Mas Mansyur No. 25,-6.191500000000000,106.816199999999995,,"201"
34677,SMP,"20106351",SMP AL MAMUR,Jl. Raden Saleh No. 30,-6.191400000000000,106.824799999999996,,"189"
34679,SMP,"20108804",SMP K Samaria Kudus,Jl. Raya Meruya Utara No. 17,-6.191300000000000,106.752399999999994,,"99"
34687,SMP,"20106872",SMP KATOLIK SANG TIMUR,Jl. Karmel Raya 2 Kebon Jeruk,-6.190200000000000,106.778800000000004,,"176"
34688,SMP,"20100293",SMP AN NUR,Jl. Ks. Tubun Raya No. 29,-6.190200000000000,106.812799999999996,,"136"
34693,SMP,"20106433",SMP SANTO BELLARMINUS,Jl. Lombok No. 58,-6.189300000000000,106.825299999999999,,"107"
34711,SMP,"20108797",SMP Budi Murni 2,Jl. Puri Kembangan No. 2,-6.187100000000000,106.739400000000003,,"151"
34730,SMP,"20106734",SMP Al-Manshuriyah,Jl. Kembangan Baru No. 109,-6.186100000000000,106.732200000000006,,"152"
34731,SMP,"20106847",SMP Notre Dame,Jl. Puri Indah Kembang Barat Raya Blok M,-6.186100000000000,106.734999999999999,,"176"
34763,SMP,"20106811",SMP Josua,Jl. Kotabambu Utara II No. 8,-6.184200000000000,106.807400000000001,,"85"
34767,SMP,"20109071",SMP ISLAM ASSAADATUL ABADIYAH,Jl. Tanjung Duren Utara NO.22,-6.184000000000000,106.782899999999998,,"89"
34769,SMP,"20106424",SMP PSKD 7,Jl. Taman Kebon Sirih III/46A,-6.183900000000000,106.819199999999995,,"232"
34773,SMP,"20106799",SMP IPEKA TOMANG,Komp Green Ville Blok D,-6.183700000000000,106.768799999999999,,"197"
34775,SMP,"20100326",SMP Hati Suci,Jl. Hati Suci No. 2,-6.183500000000000,106.817400000000006,,"191"
34791,SMP,"20106717",SMP Abdi Siswa,Jl. Patra Raya Tomang Raya No. 1,-6.182100000000000,106.780100000000004,,"111"
